№,Домен,URL,Мин. позиция,Комментарий
1,"cryptorussia.ru","https://cryptorussia.ru/kristina-yegiazarova-invest",1,"Негативные маркеры: ""разоблачение"", ""плохие"""
2,"adi19.ru","https://adi19.ru/news/101720-numerolog-kristina-egiazarova-s-prognozom-na-2024-2026-gody-novye-konflikty-ob-edinenie-stran",3,"Негативные маркеры: ""конфликты"""
3,"nebo-hod.com","https://nebo-hod.com/news/item/38748-ne-vedites-na-eres-numerolog-moshennica-egiazarova-konyachaya-golova-prodaet-lipovuyu-nauku",4,"Негативные маркеры: ""обвиняется"""
4,"nebo-hod.com","http://nebo-hod.com/news/item/23528-kristina-egiazarova-numerologiya-ili-ocherednoy-razvod-razoblachenie-ee-shkoly-ishodnyy-kod-i-afery-s-kursami",4,"Негативные маркеры: ""обвиняется"""
5,"nebo-hod.com","https://nebo-hod.com/news/kristina-egiazarova-numerologiya-ili-ocherednoy-razvod-razoblachenie-ee-shkoly",4,"Негативные маркеры: ""обвиняется"""
6,"kompromatwiki.org","https://kompromatwiki.org/wiki/%D0%9A%D1%80%D0%B8%D1%81%D1%82%D0%B8%D0%BD%D0%B0_%D0%95%D0%B3%D0%B8%D0%B0%D0%B7%D0%B0%D1%80%D0%BE%D0%B2%D0%B0",5,"Негативные маркеры: ""компромат"" | Источник: компроматный ресурс"
7,"kompromatwiki.org","https://kompromatwiki.org/wiki/Кристина_Егиазарова",5,"Негативные маркеры: ""компромат"" | Источник: компроматный ресурс"
8,"livelib.ru","https://www.livelib.ru/author/2045368-kristina-egiazarova",5,"Общий негативный тон публикации"
9,"livelib.ru","https://www.livelib.ru/author/2045368/reviews-kristina-egiazarova",5,"Общий негативный тон публикации"
10,"livelib.ru","https://www.livelib.ru/book/1007479798/reviews-ishodnyj-kod-novaya-era-numerologii-kristina-egiazarova",5,"Общий негативный тон публикации"
11,"altapress.ru","https://altapress.ru/afisha/story/kristina-egiazarova-put-psikhologa-376456",5,"Негативные маркеры: ""долгого"", ""ошибки"""
12,"b-mag.ru","https://b-mag.ru/rejting-trejderov/kristina-yegiazarova-obzor/",5,"Негативные маркеры: ""плохие"""
13,"vk.com","https://vk.com/video-181901087_456239848",5,"Негативные маркеры: ""разоблачение"""
14,"vk.com","https://vk.com/wall-34259739_137601",5,"Негативные маркеры: ""разоблачение"""
15,"vk.com","https://vk.com/wall-39970523_350716",5,"Негативные маркеры: ""разоблачение"""
16,"24smi.org","https://24smi.org/celebrity/241746-kristina-egiazarova.html",5,"Негативные маркеры: ""искать"""
17,"t.me","https://t.me/kristina_egiazarovaaa1407",6,"Негативные маркеры: ""мошенников"""
18,"tvoya-moskva.online","https://tvoya-moskva.online/novosti/item/195654-ne-vedites-na-obeschaniya-lyubvi-i-deneg-numerolog-moshennica-egiazarova-stroit-biznes-na-lzhi",6,"Негативные маркеры: ""обвиняется"""
19,"litres.ru","https://www.litres.ru/book/kristina-egiazarova/ishodnyy-kod-novaya-era-numerologii-67965968/otzivi/",7,"Негативные маркеры: ""плохую"""
20,"litres.ru","https://www.litres.ru/audiobook/kristina-egiazarova/ishodnyy-kod-novaya-era-numerologii-68905350/",7,"Негативные маркеры: ""плохую"""
